id,title,genre,description,rating,year,poster,trailer
11,Jurassic World,"Adventure, Sci-Fi, Action",A fully functioning dinosaur theme park collapses into chaos when a genetically engineered hybrid predator escapes its enclosure.,6.9,2015,posters/jurassic-world.jpg,RFinNxS5KN4
12,Pirates of the Caribbean: The Curse of the Black Pearl,"Adventure, Fantasy, Action",A roguish pirate captain teams up with a blacksmith to rescue a governor's daughter from a crew of cursed undead sailors.,8.1,2003,posters/pirates-of-the-caribbean-the-curse-of-the-black-pearl.jpg,naQr0uTrH_s
13,The Conjuring,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren help a family terrorised by a dark presence in their secluded farmhouse.,7.5,2013,posters/the-conjuring.jpg,ejMMn0t58Lc
14,Annabelle,"Horror, Mystery, Thriller",A young couple's vintage porcelain doll becomes the vessel for a malevolent supernatural entity that stalks their home.,5.4,2014,posters/annabelle.jpg,paFgQNPGlsg
15,A Quiet Place,"Horror, Thriller, Sci-Fi",A family must live in total silence to hide from blind alien creatures that hunt every sound they make.,7.5,2018,posters/a-quiet-place.jpg,WR7cc5t7tv8
16,Joker,"Crime, Drama, Thriller","A failed comedian in a decaying city spirals into madness and violence, becoming the criminal icon known as the Joker.",8.4,2019,posters/joker.jpg,zAGVQLHvwOY
17,Forrest Gump,"Drama, Romance",A kind-hearted man with a low IQ witnesses and unwittingly shapes decades of American history while loving one woman.,8.8,1994,posters/forrest-gump.jpg,bLvqoHBptjg
18,Gladiator,"Action, Drama, Adventure",A betrayed Roman general is enslaved and rises through the gladiatorial arena to avenge his murdered family.,8.5,2000,posters/gladiator.jpg,P5ieIbInFpg
19,The Prestige,"Drama, Mystery, Thriller",Two rival Victorian stage magicians destroy each other in an obsessive competition to perform the perfect illusion.,8.5,2006,posters/the-prestige.jpg,RLtaA9fFNXU
20,Shutter Island,"Mystery, Thriller, Drama",A US Marshal investigating a patient's disappearance at a remote psychiatric hospital begins to doubt his own sanity.,8.2,2010,posters/shutter-island.jpg,v8yrZSkKxTA
21,Avatar,"Sci-Fi, Adventure, Action",A paralysed marine sent to the moon Pandora in an alien body is torn between his orders and the tribe he grows to love.,7.9,2009,posters/avatar.jpg,5PSNL1qE6VY
22,Black Panther,"Action, Adventure, Sci-Fi",The new king of the hidden African nation of Wakanda must defend his throne and his people from a vengeful challenger.,7.3,2018,posters/black-panther.jpg,xjDjIWPwcPU
23,Doctor Strange,"Fantasy, Action, Adventure",An arrogant neurosurgeon loses the use of his hands and is trained in the mystic arts to defend reality itself.,7.5,2016,posters/doctor-strange.jpg,h7gvFravm4A
24,Thor,"Action, Fantasy, Adventure","An arrogant Norse god is stripped of his power and banished to Earth, where he learns humility and true heroism.",7.0,2011,posters/thor.jpg,JOddp-nlNvQ
25,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",A frail young volunteer is transformed into a super soldier and becomes America's symbol of hope during World War II.,6.9,2011,posters/captain-america-the-first-avenger.jpg,JerVrbLldXw
26,Guardians of the Galaxy,"Sci-Fi, Adventure, Comedy",A band of misfit outlaws reluctantly unite to keep a powerful orb out of the hands of a fanatical alien warlord.,8.0,2014,posters/guardians-of-the-galaxy.jpg,d96cjJhvlMA
27,Deadpool,"Action, Comedy, Adventure",A wisecracking mercenary gains accelerated healing powers through a brutal experiment and hunts the man who ruined his life.,8.0,2016,posters/deadpool.jpg,Xithigfg7dA
28,Black Widow,"Action, Thriller, Adventure",A former Russian assassin confronts the dark secrets of her past and the spy programme that created her.,6.7,2021,posters/black-widow.jpg,ybji16u608U
29,Wonder Woman,"Action, Fantasy, Adventure",An Amazon princess leaves her hidden island to fight alongside humans in the First World War and stop a god of war.,7.4,2017,posters/wonder-woman.jpg,1Q8fG0TtVAY
30,Man of Steel,"Action, Sci-Fi, Adventure",A young man raised on Earth discovers he is an alien with extraordinary powers and must defend his adopted world.,7.1,2013,posters/man-of-steel.jpg,T6DJcgm3wNY
31,Aquaman,"Action, Fantasy, Adventure",The half-human heir to the underwater kingdom of Atlantis must claim his birthright to stop a war against the surface world.,6.8,2018,posters/aquaman.jpg,WDkg3h8PCVU
32,Batman Begins,"Action, Crime, Drama","After years of training abroad, Bruce Wayne returns to Gotham City and becomes a masked symbol of justice and fear.",8.2,2005,posters/batman-begins.jpg,neY2xVmOfUM
33,The Dark Knight Rises,"Action, Crime, Drama","Eight years after vanishing, Batman returns to save Gotham from Bane, a brutal revolutionary who breaks both city and hero.",8.4,2012,posters/the-dark-knight-rises.jpg,GokKUqLcvD8
34,Dune,"Sci-Fi, Adventure, Drama",The heir of a noble house travels to a lethal desert planet to protect the most valuable resource in the known universe.,8.0,2021,posters/dune.jpg,n9xhJrPXop4
35,Dune: Part Two,"Sci-Fi, Adventure, Drama",A young exiled duke unites with the desert people of Arrakis to wage a holy war against the house that destroyed his family.,8.5,2024,posters/dune-part-two.jpg,Way9Dexny3w
36,Tenet,"Sci-Fi, Action, Thriller",A secret agent learns to manipulate the flow of time in a mission to prevent a war worse than nuclear annihilation.,7.3,2020,posters/tenet.jpg,LdOM0x0XDMo
37,Edge of Tomorrow,"Sci-Fi, Action, Adventure","A soldier relives the same day of a losing alien war over and over, growing deadlier with every brutal death.",7.9,2014,posters/edge-of-tomorrow.jpg,vw61gCe2oqI
38,Ready Player One,"Sci-Fi, Adventure, Action",A teenager hunts a fortune hidden inside a sprawling virtual reality world before a ruthless corporation can claim it.,7.4,2018,posters/ready-player-one.png,cSp1dM2Vj48
39,The Martian,"Sci-Fi, Drama, Adventure","An astronaut left behind on Mars uses science, humour and sheer stubbornness to survive until a rescue can reach him.",8.0,2015,posters/the-martian.jpg,nDZQmv-70EI
40,Gravity,"Sci-Fi, Thriller, Drama",Two astronauts are left adrift in orbit after debris destroys their shuttle and must fight to reach safety.,7.7,2013,posters/gravity.jpg,OiTiKOy59o4
41,The Shawshank Redemption,"Drama, Crime",A banker wrongly convicted of murder forms a lifelong friendship in prison and quietly engineers his own redemption.,9.3,1994,posters/the-shawshank-redemption.jpg,PLl99DlL6b4
42,The Godfather,"Crime, Drama",The ageing patriarch of a New York crime dynasty hands control of his empire to his reluctant youngest son.,9.2,1972,posters/the-godfather.jpg,UaVTIH8mujA
43,Fight Club,"Drama, Thriller",An insomniac office worker and a reckless soap salesman start an underground fight club that spirals into anarchy.,8.8,1999,posters/fight-club.jpg,qtRKdVHc-cE
44,The Wolf of Wall Street,"Crime, Drama, Comedy",A New York stockbroker builds a fortune through fraud and excess before federal agents close in on his empire.,8.2,2013,posters/the-wolf-of-wall-street.jpg,qRIeEcMncBM
45,Whiplash,"Drama, Music",A young jazz drummer is pushed to the edge of sanity by an abusive conservatory instructor obsessed with greatness.,8.5,2014,posters/whiplash.jpg,7d_jQycdQGo
46,La La Land,"Romance, Music, Drama",A struggling actress and a jazz pianist fall in love in Los Angeles while chasing careers that pull them apart.,8.0,2016,posters/la-la-land.jpg,0pdqf4P9MB8
47,The Hangover,Comedy,Three friends wake with no memory of a wild Las Vegas bachelor party and must retrace the night to find the missing groom.,7.7,2009,posters/the-hangover.jpg,tcdUhdOlz9M
48,Home Alone,"Comedy, Family, Adventure",An eight-year-old boy accidentally left behind at Christmas defends his house from two bumbling burglars.,7.7,1990,posters/home-alone.jpg,jEDaVHmw7r4
49,The Conjuring 2,"Horror, Mystery, Thriller",The Warrens travel to London to help a single mother and her daughters tormented by a violent poltergeist.,7.3,2016,posters/the-conjuring-2.jpg,VFsmuRPClr4
50,Pulp Fiction,"Crime, Drama, Thriller","The lives of two hitmen, a boxer and a gangster's wife intertwine across four interlocking tales of violence and dark comedy.",8.9,1994,posters/pulp-fiction.jpg,s7EdQ4FqbhY
51,Goodfellas,"Crime, Drama, Biography",A young man rises through the ranks of the New York mafia and watches his glamorous criminal life collapse into paranoia.,8.7,1990,posters/goodfellas.jpg,2ilzidi_J8Q
52,The Departed,"Crime, Thriller, Drama",An undercover cop and a mole inside the police race to expose each other inside the Boston Irish mob.,8.5,2006,posters/the-departed.jpg,iojhqm0JTW4
53,Se7en,"Crime, Mystery, Thriller",Two detectives hunt a meticulous serial killer who stages his murders around the seven deadly sins.,8.6,1995,posters/se7en.jpg,znmZoVkCjpI
54,The Silence of the Lambs,"Crime, Thriller, Horror",A young FBI trainee seeks the help of an imprisoned cannibal psychiatrist to catch another active serial killer.,8.6,1991,posters/the-silence-of-the-lambs.jpg,6iB21hsprAQ
55,Parasite,"Drama, Thriller, Comedy","A poor family cons its way into the household of a wealthy clan, until a hidden secret turns the arrangement deadly.",8.5,2019,posters/parasite.jpg,5xH0HfJHsaY
56,Schindler's List,"Drama, History, Biography",A German industrialist gradually risks everything to save more than a thousand Jewish refugees during the Holocaust.,9.0,1993,posters/schindler-s-list.jpg,gG22XNhtnoY
57,Saving Private Ryan,"Drama, War, Action","After the D-Day landings, a squad of soldiers is sent behind enemy lines to bring one paratrooper safely home.",8.6,1998,posters/saving-private-ryan.jpg,9CiW_DgxCnQ
58,The Green Mile,"Drama, Fantasy, Crime",Guards on a 1930s death row meet a towering inmate whose gentle nature conceals a miraculous healing gift.,8.6,1999,posters/the-green-mile.jpg,Ki4haFrqSrw
59,Django Unchained,"Western, Drama, Action",A freed slave partners with a bounty hunter to rescue his wife from a brutal Mississippi plantation owner.,8.5,2012,posters/django-unchained.jpg,0fUCuvNlOCg
60,Inglourious Basterds,"War, Drama, Adventure",A squad of Jewish-American soldiers and a vengeful cinema owner plot to end the Nazi regime in occupied France.,8.4,2009,posters/inglourious-basterds.jpg,KnrRy6kSFF0
61,The Lord of the Rings: The Fellowship of the Ring,"Fantasy, Adventure, Drama",A hobbit inherits a ring of terrible power and sets out with eight companions to destroy it before darkness spreads.,8.9,2001,posters/the-lord-of-the-rings-the-fellowship-of-the-ring.jpg,V75dMMIW2B4
62,The Lord of the Rings: The Two Towers,"Fantasy, Adventure, Drama",The broken fellowship fights on separate fronts as the ring bearer edges closer to Mordor with a treacherous guide.,8.8,2002,posters/the-lord-of-the-rings-the-two-towers.jpg,LbfMDwc4azU
63,The Lord of the Rings: The Return of the King,"Fantasy, Adventure, Drama",The armies of men make a final desperate stand while two hobbits carry the ring to the fires of Mount Doom.,9.0,2003,posters/the-lord-of-the-rings-the-return-of-the-king.jpg,r5X-hFf6Bwo
64,The Hobbit: An Unexpected Journey,"Fantasy, Adventure, Family",A home-loving hobbit is swept into a quest with thirteen dwarves to reclaim a mountain kingdom from a dragon.,7.8,2012,posters/the-hobbit-an-unexpected-journey.jpg,SDnYMbYB-nU
65,Star Wars: A New Hope,"Sci-Fi, Adventure, Fantasy",A farm boy joins a rebellion against a galactic empire and discovers his destiny as a wielder of the Force.,8.6,1977,posters/star-wars-a-new-hope.jpg,vZ734NWnAHA
66,The Empire Strikes Back,"Sci-Fi, Adventure, Fantasy",The rebels are scattered by the empire while a young Jedi trains with a master and learns a devastating truth.,8.7,1980,posters/the-empire-strikes-back.jpg,JNwNXF9Y6kY
67,Star Wars: The Force Awakens,"Sci-Fi, Adventure, Action",A scavenger and a runaway soldier are drawn into a galactic conflict as a new order rises from the empire's ashes.,7.8,2015,posters/star-wars-the-force-awakens.jpg,sGbxmsDFVnE
68,Back to the Future,"Sci-Fi, Comedy, Adventure",A teenager is sent thirty years into the past by a homemade time machine and must repair his own future.,8.5,1985,posters/back-to-the-future.jpg,qvsgGtivCgs
69,Terminator 2: Judgment Day,"Sci-Fi, Action, Thriller",A reprogrammed cyborg protects a boy destined to lead humanity from a shapeshifting assassin sent to kill him.,8.6,1991,posters/terminator-2-judgment-day.jpg,CRRlbK5w8AE
70,Alien,"Sci-Fi, Horror, Thriller",The crew of a commercial spacecraft is hunted one by one by a perfectly evolved extraterrestrial predator.,8.5,1979,posters/alien.jpg,bM01Al2SWx4
71,Blade Runner 2049,"Sci-Fi, Drama, Mystery",A replicant detective uncovers a buried secret that could shatter the fragile order between humans and machines.,8.0,2017,posters/blade-runner-2049.jpg,gCcx85zbxz4
72,E.T. the Extra-Terrestrial,"Sci-Fi, Family, Adventure",A lonely boy befriends a stranded alien and helps it escape government scientists to return home.,7.9,1982,posters/e-t-the-extra-terrestrial.jpg,qYAETtIIClk
73,Jaws,"Thriller, Adventure, Horror","A police chief, a marine biologist and a grizzled fisherman hunt an enormous great white shark terrorising a resort town.",8.1,1975,posters/jaws.jpg,WKuZJjPSLXQ
74,Jurassic Park,"Adventure, Sci-Fi, Thriller",Scientists touring a park of cloned dinosaurs are hunted when the security systems fail during a tropical storm.,8.2,1993,posters/jurassic-park.jpg,QWBKEmWWL38
75,Raiders of the Lost Ark,"Adventure, Action, Fantasy",A globetrotting archaeologist races Nazi agents to recover the Ark of the Covenant before its power is unleashed.,8.4,1981,posters/raiders-of-the-lost-ark.jpg,0xQSIdSRlAk
76,The Lion King,"Animation, Family, Drama",A young lion prince flees his kingdom after his father's murder and must return to claim his rightful place.,8.5,1994,posters/the-lion-king.jpg,lFzVJEksoDY
77,Toy Story,"Animation, Family, Comedy",A cowboy doll's place as favourite toy is threatened when a flashy space ranger action figure arrives.,8.3,1995,posters/toy-story.jpg,v-PjgYDrg70
78,Finding Nemo,"Animation, Family, Adventure",An anxious clownfish crosses the ocean with a forgetful companion to rescue his captured son.,8.2,2003,posters/finding-nemo.jpg,9oQ628Seb9w
79,Up,"Animation, Family, Adventure",A grieving widower flies his house to South America with balloons and an accidental young stowaway.,8.3,2009,posters/up.jpg,HWEW_qTLSEE
80,Inside Out,"Animation, Family, Comedy",The five emotions inside a young girl's mind struggle to guide her through an unsettling move to a new city.,8.1,2015,posters/inside-out.jpg,yRUAzGQ3nSY
81,Coco,"Animation, Family, Fantasy",A boy who dreams of music is transported to the Land of the Dead and uncovers his family's hidden history.,8.4,2017,posters/coco.jpg,Rvr68u6k5sI
82,WALL-E,"Animation, Sci-Fi, Family",A lonely waste-collecting robot on an abandoned Earth follows the probe he loves across the galaxy.,8.4,2008,posters/wall-e.jpg,CZ1CATNbXg0
83,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",A Brooklyn teenager becomes Spider-Man and teams with heroes from parallel dimensions to save the multiverse.,8.4,2018,posters/spider-man-into-the-spider-verse.jpg,g4Hbz2jLxvQ
84,Spider-Man: No Way Home,"Action, Adventure, Fantasy",A botched spell tears open the multiverse and brings Spider-Man face to face with villains from other realities.,8.2,2021,posters/spider-man-no-way-home.jpg,JfVOs4VSpmA
85,Avengers: Infinity War,"Action, Adventure, Sci-Fi","The Avengers and their allies make a desperate stand against Thanos, a titan seeking the six Infinity Stones.",8.4,2018,posters/avengers-infinity-war.jpg,QwievZ1Tx-8
86,Avengers: Endgame,"Action, Adventure, Drama",The surviving heroes attempt one impossible last mission through time to undo the loss of half the universe.,8.4,2019,posters/avengers-endgame.jpg,TcMBFSGVi1c
87,Thor: Ragnarok,"Action, Comedy, Fantasy","Stranded on a gladiator planet without his hammer, Thor races to stop the goddess of death from destroying Asgard.",7.9,2017,posters/thor-ragnarok.jpg,ue80QwXMRHg
88,Logan,"Action, Drama, Sci-Fi","An ageing, weary Wolverine shelters an ailing Professor X and protects a young mutant girl hunted across the country.",8.1,2017,posters/logan.jpg,Div0iP65aZo
89,The Batman,"Action, Crime, Mystery","In his second year of crimefighting, Batman tracks a sadistic serial killer exposing corruption at Gotham's core.",7.8,2022,posters/the-batman.jpg,mqqft2x_Aa4
90,Oppenheimer,"Drama, History, Biography",The physicist who led the Manhattan Project confronts the moral weight of the weapon he brought into the world.,8.3,2023,posters/oppenheimer.jpg,uYPbbksJxIg
91,Barbie,"Comedy, Adventure, Fantasy",A doll living in a perfect plastic world travels to the real one and confronts what it means to be human.,6.8,2023,posters/barbie.jpg,pBk4NYhWNMM
92,Top Gun: Maverick,"Action, Drama, Adventure",A veteran navy pilot trains a squad of elite graduates for a near-impossible mission while facing his own past.,8.2,2022,posters/top-gun-maverick.jpg,qSqVVswa420
93,John Wick,"Action, Thriller, Crime",A retired hitman returns to the criminal underworld to hunt the gangsters who destroyed the last piece of his old life.,7.4,2014,posters/john-wick.jpg,C0BMx-qxsP4
94,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",A drifter and a rebel commander flee a tyrant across a post-apocalyptic desert in a relentless vehicular war.,8.1,2015,posters/mad-max-fury-road.jpg,hEJnMQG9ev8
95,The Grand Budapest Hotel,"Comedy, Drama, Adventure",A legendary concierge and his loyal lobby boy are swept into a murder mystery over a priceless stolen painting.,8.1,2014,posters/the-grand-budapest-hotel.jpg,1Fg5iWmQjwk
96,Get Out,"Horror, Mystery, Thriller",A young man visits his girlfriend's family estate and uncovers a disturbing secret beneath their relentless hospitality.,7.8,2017,posters/get-out.jpg,DzfpyUB60YY
97,Hereditary,"Horror, Drama, Mystery","After the death of her secretive mother, a woman's family unravels as a terrifying inheritance reveals itself.",7.3,2018,posters/hereditary.jpg,V6wWKNij_1M
98,It,"Horror, Thriller",A group of bullied children band together to face a shapeshifting entity that feeds on the fears of their small town.,7.3,2017,posters/it.jpg,xKJmEC5ieOk
99,3 Idiots,"Comedy, Drama","Two friends search for their brilliant, rebellious college classmate and revisit the engineering years that changed them.",8.4,2009,posters/3-idiots.jpg,K0eDlFX9GMc
100,Dangal,"Drama, Sport, Biography",A former wrestler trains his two daughters against fierce social opposition to become India's champion wrestlers.,8.3,2016,posters/dangal.jpg,x_7YlGv9u1g
101,RRR,"Action, Drama, Adventure",Two revolutionaries in colonial India forge an unbreakable friendship before their opposing missions collide.,7.8,2022,posters/rrr.jpg,GY4BgdUSpbE
102,Baahubali: The Beginning,"Action, Fantasy, Adventure",A young man raised in a remote village discovers his royal bloodline and the war that cost his father a kingdom.,8.0,2015,posters/baahubali-the-beginning.jpg,3NQRhE772b0
103,PK,"Comedy, Drama, Sci-Fi",A stranded alien wanders India asking innocent questions that expose the contradictions of faith and society.,8.1,2014,posters/pk.jpg,SOXWc32k4zA
104,Sholay,"Action, Adventure, Drama",A retired policeman hires two small-time crooks to capture the ruthless bandit who destroyed his family.,8.1,1975,posters/sholay.jpg,fefaxq2nXoE
105,Gully Boy,"Drama, Music",A young man from a Mumbai slum finds his voice as a street rapper and fights to escape the life he was born into.,7.9,2019,posters/gully-boy.jpg,JfbxcD6biOk
106,Drishyam,"Crime, Drama, Thriller",An ordinary cable operator uses everything he has learned from films to shield his family from a murder investigation.,8.2,2015,posters/drishyam.jpg,64xJLmcA2K8
